#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1.4%	1375000	-920.6864446905504	300.3690010231224	1.15e+03	4:06:53
1.4%	1380000	-908.525647807783	319.13712009212884	1.15e+03	4:06:52
1.4%	1385000	-896.7341105623143	298.2580460171474	1.15e+03	4:06:51
1.4%	1390000	-977.3251721948179	322.2613758265473	1.15e+03	4:06:50
1.4%	1395000	-897.4381160476871	251.10513954766506	1.15e+03	4:06:50
1.4%	1400000	-907.4320283453009	280.1787095539848	1.15e+03	4:06:49
1.4%	1405000	-888.8036972892653	312.36115920678634	1.15e+03	4:06:48
1.4%	1410000	-907.1716993137709	328.5776743497278	1.15e+03	4:06:47
1.4%	1415000	-944.2053325914295	294.67601273134636	1.15e+03	4:06:47
1.4%	1420000	-865.4180665526375	304.0068511614758	1.15e+03	4:06:46
1.4%	1425000	-928.4705688234317	321.82810081529567	1.15e+03	4:06:45
1.4%	1430000	-925.0896867259523	281.052831886461	1.15e+03	4:06:44
1.4%	1435000	-958.4914804107557	272.65006436400864	1.15e+03	4:06:44
1.4%	1440000	-935.6470867017694	298.26935488182335	1.15e+03	4:06:43
1.4%	1445000	-957.5051974058093	312.22300588334826	1.15e+03	4:06:42
1.4%	1450000	-976.6528605027258	281.07892163566936	1.15e+03	4:06:41
1.5%	1455000	-945.8619238519385	295.96059394458774	1.15e+03	4:06:41
1.5%	1460000	-868.6949076280384	256.09066246008314	1.15e+03	4:06:40
1.5%	1465000	-930.4324109068828	309.6320193320524	1.15e+03	4:06:39
1.5%	1470000	-898.4800558095304	253.81432357493733	1.15e+03	4:06:39
1.5%	1475000	-868.8265123759826	271.61297203283334	1.15e+03	4:06:38
1.5%	1480000	-918.2173456440045	284.73657882063344	1.15e+03	4:06:37
1.5%	1485000	-898.1477775514301	286.85606507539893	1.15e+03	4:06:36
1.5%	1490000	-956.2078469095434	266.8922981017646	1.15e+03	4:06:36
1.5%	1495000	-899.6822643962935	322.8958626552045	1.15e+03	4:06:35
1.5%	1500000	-906.8387932176495	296.1182236460787	1.15e+03	4:06:34
1.5%	1505000	-848.8361514695533	302.97070123569017	1.15e+03	4:06:34
1.5%	1510000	-821.9096952920329	293.86832171212694	1.15e+03	4:06:33
1.5%	1515000	-849.1465966143979	288.93302735363477	1.15e+03	4:06:32
1.5%	1520000	-857.0998519813355	285.5408970205635	1.15e+03	4:06:31
1.5%	1525000	-882.2593883954089	279.6386947322836	1.15e+03	4:06:31
1.5%	1530000	-828.5246904367473	296.03208448677856	1.15e+03	4:06:30
1.5%	1535000	-886.6424004097817	264.6059399593182	1.15e+03	4:06:29
1.5%	1540000	-885.9195585450273	273.34445180190664	1.15e+03	4:06:28
1.5%	1545000	-944.8331993914377	321.85908445915913	1.15e+03	4:06:28
1.6%	1550000	-863.9082615839046	289.38561340866045	1.15e+03	4:06:27
1.6%	1555000	-905.9556093386043	318.9075038456104	1.15e+03	4:06:26
1.6%	1560000	-943.8033806100849	301.92664833137377	1.15e+03	4:06:26
1.6%	1565000	-836.8118753981407	311.58627050849816	1.15e+03	4:06:25
1.6%	1570000	-903.9596444835321	304.8505519866368	1.15e+03	4:06:24
1.6%	1575000	-913.2231542356458	315.44745419077225	1.15e+03	4:06:23
1.6%	1580000	-899.0179561491492	341.8318952178487	1.15e+03	4:06:23
1.6%	1585000	-939.3963745261113	319.9892198986573	1.15e+03	4:06:22
